"","GC_E18_2","GC_E18_3","GC_E18_4","GC_E18_5","GC_E18_6","GC_P0_1","GC_P0_2","GC_P0_3","GC_P0_4","GC_P0_5","GC_P0_6","GC_P3_1","GC_P3_2","GC_P3_3","GC_P3_4","GC_P3_5","GC_P3_6","GC_P6_1","GC_P6_2","GC_P6_3","GC_P6_4","GC_P6_5","GC_P6_6","GC_P9_1","GC_P9_2","GC_P9_3","GC_P9_4","GC_P9_5","GC_P9_6"
"Label","E18","E18","E18","E18","E18","P0","P0","P0","P0","P0","P0","P3","P3","P3","P3","P3","P3","P6","P6","P6","P6","P6","P6","P9","P9","P9","P9","P9","P9"
"Add1","17.21243","17.71644","17.90232","18.41568","19.25783","20.40094","20.59288","21.03878","18.69129","18.53809","18.43143","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","19.93856","19.94403","20.27355","19.73487","19.63079","19.92121","19.53740","18.66003","20.35593","16.77474","16.45865","16.29927"
"Wdr7","17.02933","15.41528","17.03582","17.10787","17.62017","18.18456","17.80845","17.43896","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","18.44213","17.90849","15.63037","17.43896","17.81695","17.93407","17.67191","17.84303","18.14676","20.00211","19.94831","20.62623"
"Aldh1l1","17.68484","17.45577","18.63860","18.13098","17.51163","18.32013","17.14267","18.91398","16.96361","17.07048","19.05296","21.86988","21.89741","22.32727","22.22069","21.89741","22.06233","20.67717","20.32309","20.76381","20.37478","19.89634","19.75600","16.48595","17.04884","17.97749","17.26860","20.04223","18.93507"
"Prep","20.60576","20.23766","20.37002","19.83007","19.84037","20.87114","20.61073","21.02646","21.02646","22.01899","20.86071","21.00853","19.84037","21.36460","19.83411","19.99079","20.83714","20.50021","19.98233","20.05993","19.72207","19.38255","19.95703","19.01347","17.29136","20.36633","16.53008","19.32958","19.22235"
"Rhob","23.21334","23.24972","23.20028","23.03101","22.63832","23.69025","23.36175","21.64754","23.66273","24.00718","22.97600","20.23261","20.63760","20.34540","19.90260","19.88274","19.50724","23.42883","23.56942","22.93515","23.32988","23.36175","23.36175","23.18063","23.21334","23.32988","22.92114","23.52969","22.53462"
"Gpm6a","23.66273","23.45905","23.24972","23.42883","23.52969","24.66387","23.94235","24.57441","23.88555","24.11541","24.00718","21.84371","22.00020","22.44004","22.17499","22.06233","21.95215","23.69025","23.80862","23.79142","23.36175","23.34424","23.00513","23.44427","23.03101","23.38328","23.24972","22.54699","22.18833"
"Src","21.13570","21.50412","21.54945","21.09500","22.37933","20.81034","20.81988","20.31997","16.96361","23.26437","22.89579","17.46424","20.46631","21.07166","17.47046","17.45309","17.39907","20.38660","20.26067","20.83045","20.35308","20.22859","20.49576","18.81503","19.27992","19.43001","19.36583","20.53809","19.90260"
"Plcb1","16.549584","15.415283","17.029330","18.266138","17.142669","16.229362","15.617022","16.126067","18.732947","17.070477","18.803839","17.464240","17.464240","17.446873","17.470465","17.453089","17.399074","18.380231","18.947151","18.696444"," 6.848008","18.368515","16.604147","20.340710","17.382245","18.895503","20.237661","18.346370","19.492546"
"Arf4","19.04437","20.46631","20.11454","20.02739","18.80384","20.34849","17.73248","16.12607","19.78708","20.38104","20.70014","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","19.66818","20.35308","20.43582","20.41178","20.20846","20.35593","20.36123","19.80605","21.63448","19.66287","18.01464","21.00853"
"Nrcam","19.08802","19.25783","18.75660","18.97553","18.92675","20.24274","20.23766","24.54995","24.50763","22.94509","21.74633","21.09500","17.46424","21.13179","19.34303","17.45309","17.39907","22.78663","22.71628","23.94235","22.94509","23.01886","22.75162","20.81648","18.74926","20.98786","17.01435","19.54138","18.96142"
"Rap1gds1","16.47445","15.41528","17.05795","15.15226","15.76038","19.03110","17.66107","17.89002","16.96361","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","18.33691","17.61419","17.82812","18.39850","17.76125","17.77908","20.40570","20.53221","19.70043","21.00853","21.58472","20.97205"
"Fabp5","22.95782","23.01886","22.89579","22.64942","22.95782","23.04418","23.04418","23.16576","22.05427","22.16226","22.03731","22.00921","21.92660","22.11457","21.64754","21.51931","22.53462","23.75876","23.58888","23.29628","23.69025","23.56942","22.74305","22.53462","22.51319","22.90556","22.08514","22.76514","20.93345"
"Rala","22.44004","22.40693","22.65957","22.11457","22.21308","22.04546","21.85199","21.89741","22.63832","21.50033","22.11457","22.36222","22.15594","21.94522","22.61579","22.44780","22.13300","22.43105","22.31418","22.35109","22.45747","22.15594","22.08514","21.60611","22.11457","22.17499","21.74633","21.38600","21.35994"
"Nbea","19.64804","19.87754","18.19078","19.02475","19.91235","20.97747","20.08256","18.89321","19.91713","21.28949","21.18769","17.46424","20.40094","17.44687","20.95697","19.68679","17.39907","20.84687","20.42672","20.14839","20.42672","20.84687","20.14354","19.23894","18.20107","19.16385","18.44451","18.04488","18.70420"
"Eif5a","20.87114","21.76818","21.85199","21.42679","21.64754","21.30598","22.42061","21.59029","23.52969","23.18063","23.14783","22.81324","22.99564","22.72633","22.72633","22.58822","22.54699","20.93345","21.32202","22.46732","22.30250","21.59757","22.18833","21.94522","22.70659","23.80862","22.32727","23.20028","23.61678"
"Chl1","18.21323","18.77768","17.93828","18.84086","18.14231","18.30926","18.75660","17.58178","16.96361","17.07048","16.94984","17.46424","19.53740","19.74390","19.63692","17.45309","19.99684","19.54704","19.30826","19.61939","18.77134","15.69019","18.64565","16.30529","15.66163","16.50828","15.23540","16.45865","16.29927"
"Rpl9","20.23261","19.96174","19.64804","20.07920","19.55690","16.22936","19.85097","16.12607","16.96361","20.47015","19.41212","22.44780","22.39282","21.91814","22.39282","22.43105","21.26863","20.34540","20.38104","20.04871","19.91713","20.16190","19.37401","19.61939","18.70058","20.43582","19.58586","19.53504","18.80889"
"RP23-436K3.4-001","22.12459","22.08514","22.44004","22.90556","22.36222","21.11363","21.99434","21.91814","21.09500","21.11363","22.45747","24.54995","23.97166","24.63682","24.74923","24.57441","24.45292","22.95782","22.07044","23.39383","23.16576","22.03731","23.13485","21.72312","22.17499","21.72312","21.86021","21.96829","22.01899"
"Dbn1","21.26213","21.11363","20.79144","19.82317","20.08256","22.00921","20.66773","22.00020","21.61984","21.43453","22.08514","20.65261","20.54805","17.44687","19.38255","19.92539","19.85097","21.18138","21.03878","21.14218","20.95697","19.90260","21.12263","19.37401","18.56699","20.57240","20.20545","19.33641","19.60254"
"Pcbp1","21.07166","21.23385","21.24359","21.16617","21.35516","21.24359","20.30188","20.80481","19.44097","17.07048","20.21411","17.46424","17.46424","17.44687","19.65677","19.76111","19.52938","21.75197","21.75754","21.41194","21.51332","21.51931","21.42009","21.39569","20.98120","19.22649","21.70348","18.93839","20.17711"
"Sec23a","18.84086","18.73845","19.17460","19.21093","19.79110","17.84303","17.97749","17.36749","20.20545","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","19.43001","20.00493","20.55482","20.27791","20.05993","20.32780","18.67038","20.07307","18.83463","18.23758","18.65415","16.29927"
"Psmc3","20.62208","20.63155","21.33497","19.67490","19.75059","19.96174","17.20351","18.94203","16.96361","19.73487","16.94984","17.46424","21.35994","20.38660","21.60611","21.53365","20.42672","20.64333","20.26466","20.50979","21.00421","20.50979","21.22057","19.30365","16.90345","16.50828","18.05543","19.08209","17.90232"
"Clip2","20.32780","19.95233","19.61217","19.79600","19.72870","21.00421","18.49733","20.92841","19.81794","17.07048","16.94984","19.34303","17.46424","17.44687","17.47046","17.45309","17.39907","20.43582","20.35593","20.19800","20.10784","20.49065","20.05499","18.60977","18.22534","16.50828","15.23540","18.26614","16.29927"
"Ppp1ca","18.84679","18.80384","19.35366","16.89858","15.76038","16.22936","19.38255","18.44451","20.86550","21.38600","21.59757","17.46424","17.46424","17.44687","19.23008","17.45309","17.39907","17.58654","17.98083","19.64804","18.60977","17.88633","18.90414","18.87233","19.85097","19.99079","18.78087","20.55482","19.64804"
"Vsnl1","22.32727","22.27738","22.50433","21.42009","22.01899","22.32727","22.58822","21.60611","22.87087","23.00513","23.20028","21.91814","22.09833","22.28634","21.94522","21.70348","21.83766","22.99564","22.72633","22.64942","22.67317","23.08408","22.46732","24.57441","23.45905","25.61572","24.48560","24.54995","23.84364"
"Nrxn1","17.24751","17.62452","18.78087","17.61742","18.62344","18.76709","18.32013","18.99918","19.64804","20.24657","20.34071","17.46424","19.91713","17.44687","17.47046","19.34950","19.12482","19.04958","18.75660","19.36908","18.48909","18.08018","18.07676","18.43378","18.13765","17.90232","17.38224","19.22235","18.32793"
"Smpd3","19.90880","20.38104","19.51061","19.80605","20.37002","19.32958","22.04546","22.17499","20.30803","21.18138","20.38990","20.36123","20.98786","20.70014","20.02739","19.49255","17.39907","20.90483","22.15594","23.08408","21.61410","22.89579","21.81556","19.04437","21.15554","19.09767","21.18769","18.82823","21.53365"
"Rab1a","25.74516","25.81626","25.69179","25.02561","25.74516","24.60664","25.14815","24.50763","24.45292","24.50763","24.48560","25.81626","26.07432","26.00837","25.74516","25.69179","25.37105","23.91029","23.91029","22.87087","24.00718","23.88555","24.42473","24.19309","24.48560","24.86639","24.50763","24.42473","23.75876"
"Hras","21.95762","22.34014","22.11457","22.07521","21.56197","21.56197","22.24687","20.53221","21.44549","21.18769","21.02111","19.79600","19.54138","19.87015","20.24657","20.09362","20.03051","21.47228","21.65434","21.47962","21.57602","21.39569","22.16226","21.38600","21.33497","22.19673","22.37933","21.79070","22.39282"
"Rab3a","22.34014","22.36222","22.46732","22.27738","21.51931","21.35994","24.34979","21.45160","22.00020","22.14105","22.18833","22.58822","22.37933","23.23796","22.99564","22.45747","22.74305","24.45292","24.34979","25.02561","24.06793","24.60664","23.69025","23.84364","23.00513","24.97288","23.50334","23.69025","22.71628"
"Rpl7a","22.16226","21.66337","21.59029","22.97600","21.61410","21.56904","21.57602","21.73328","20.69536","19.30365","21.27672","23.52969","23.48110","23.34424","23.11948","23.18063","23.32988","21.27672","21.16617","21.59757","21.41515","21.28949","21.55624","20.64874","22.52657","22.21308","22.71628","21.09500","21.61984"
"Prkar2a","20.55482","20.22436","20.88217","20.12624","19.73860","20.98786","19.65677","19.67490","19.77078","21.45749","20.84149","17.46424","19.85097","20.00493","17.47046","19.53504","19.44911","20.66773","20.13181","20.29644","20.24945","20.35308","21.04994","18.99729","18.54704","16.50828","18.98146","17.98083","20.10109"
"Hmgcs1","20.57833","20.48476","20.94028","20.34071","20.13926","21.41194","18.16030","20.48476","21.15554","21.65434","21.42679","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","21.08568","21.01657","20.74182","20.34849","20.71048","20.42379","20.14839","19.51467","20.29038","20.62623","20.41952","21.84371"
"Kras","20.68183","20.84687","20.72275","19.85097","21.52652","20.37478","20.94534","20.14839","20.01389","21.56904","21.34865","21.52652","21.07721","21.07721","21.24909","20.99555","21.32202","19.06779","19.55690","16.83665","18.69644","19.39672","19.38255","18.83463","18.31500","16.50828","19.08209","18.63860","18.34042"
"Snap91","23.48110","23.79142","23.66273","23.13485","23.18063","22.28634","23.06784","23.50334","22.61579","23.58888","23.26437","21.98092","19.81198","22.01899","21.88020","22.05427","21.08568","21.91814","21.84371","21.15554","20.54261","21.57602","20.86071","22.75162","22.13300","21.41194","22.30250","20.98786","22.08514"
"Ptprz1","18.19078","18.42216","19.43702","19.55690","19.94831","20.62623","20.05993","20.96286","19.63692","17.07048","20.08256","19.24861","20.38104","19.52938","20.16970","19.73487","19.45601","21.94522","22.03731","22.11457","21.83092","22.13300","20.81034","22.12459","20.94028","21.16617","21.66337","21.30598","20.32780"
"Pa2g4","20.94534","20.98120","20.66773","21.26863","20.78593","20.54261","20.84149","19.97269","19.60710","19.61939","19.62610","22.00020","21.41194","21.98092","21.59029","21.04994","21.96829","21.56904","21.26863","20.87484","21.03878","21.10173","21.31524","20.86071","20.96765","20.92297","21.20047","20.38660","20.00493"
"Psma7","22.06233","21.85199","22.07044","21.75197","22.23269","21.65434","21.16617","21.15554","20.34849","19.13349","19.85861","21.80482","21.82088","21.76818","21.02111","22.32727","21.95762","20.33492","21.79070","21.75197","21.50033","21.95762","21.59029","20.91058","19.26313","21.19341","20.36123","19.64804","19.84557"
"Ganab","19.61939","20.25385","20.02441","20.66773","20.27791","20.86550","18.89550","20.31361","19.20612","20.36123","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","18.63860","18.32252","18.80384","17.97373","19.27701","18.22220","18.29435","18.04794","17.78811","18.23329","18.73295","16.29927"
"Camkv","20.81648","20.07920","20.43582","20.49576","20.83045","19.27243","19.08475","19.20034","21.61410","20.16970","19.32081","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","20.46005","20.08735","19.70999","20.34540","20.00211","19.38671","19.90880","20.84149","21.07721","20.83045","21.63448","21.42679"
"Rpl6","22.76514","23.00513","22.85531","23.11948","23.23796","23.16576","23.00513","23.41118","23.79142","23.48110","21.04994","23.21334","23.38328","23.69025","23.10442","23.34424","23.31487","21.83766","22.17499","22.27738","21.75754","22.56226","21.92660","22.27738","21.37194","20.47015","22.54699","22.70659","23.06784"
"Lars","19.60254","19.05843","19.94831","19.97666","19.86546","19.91235","18.70420","17.83732","21.45160","17.07048","19.17460","17.46424","17.46424","17.44687","21.21292","17.45309","21.07166","19.70043","19.24392","18.51057","18.58780","18.39850","18.75660","18.01976","18.50152","19.81198","19.44429","20.08256","20.83045"
"Dync1li1","20.02739","19.50293","20.42379","19.73487","19.35749","19.21093","19.76523","20.12624","21.47962","17.07048","20.03438","20.38104","20.14839","20.23766","20.23766","20.95697","17.39907","21.04641","20.76381","21.24359","20.83714","20.74182","20.76381","19.76523","18.93507","18.42216","19.48289","19.49255","19.51467"
"Mapk1","19.63079","20.96765","20.23261","21.27672","19.77078","18.95016","20.88217","17.76125","19.83007","19.52938","20.38104","21.36460","20.85824","21.66337","21.80482","21.67073","21.77747","20.38104","20.79144","18.54104","19.97269","20.61073","19.97269","21.02111","20.84687","21.17670","21.73328","21.18138","20.72275"
"Atp6v0d1","20.71048","20.68183","20.25385","20.88217","20.67717","21.18138","21.44549","21.42009","20.49065","19.80605","19.50724","20.40570","19.35749","19.54704","20.57240","20.00493","19.19446","21.54469","21.55624","21.18138","21.47228","21.60611","21.47962","22.13300","22.27738","22.09833","22.25656","21.33497","21.04994"
"Eif3l","20.08256","20.36123","19.55690","20.40570","19.36908","17.58654","17.49739","16.12607","18.34994","18.67487","16.94984","20.13702","20.00211","17.44687","20.62623","20.36123","20.14354","19.60710","19.70566","19.23499","17.04884","19.82317","19.77651","18.98993","18.19078","18.41568","17.91982","17.79917","18.70058"
"43713","19.14319","18.99729","19.73487","19.89634","19.45601","19.86546","20.20545","19.72870","20.57833","21.53365","19.14731","20.18358","17.46424","17.44687","19.32958","17.45309","20.42379","19.49752","19.41212","19.78433","18.94715","18.96696","19.75059","21.37194","21.54469","23.00513","21.80482","22.48292","22.63832"
"Ckap5","18.51057","18.93507","18.17206","21.20047","15.76038","19.59701","18.04488","16.12607","19.24861","17.07048","19.91235","17.46424","17.46424","19.78433","17.47046","17.45309","17.39907","19.81794","19.73487","19.88642","19.38255","19.24392","19.49752","19.48289","17.46159","16.50828","15.23540","19.67490","19.51061"
"Plppr3","20.26067","20.71619","19.90880","19.03110","19.96174","20.12624","19.72870","20.85824","19.48289","19.01347","18.63453","21.41515","20.81034","20.67717","19.36583","20.35308","20.24274","20.84149","20.73568","20.49576","20.52636","20.54261","20.57833","18.36242","17.16706","19.79600","17.33248","20.01389","19.91713"
