"","GC_E18_2","GC_E18_3","GC_E18_4","GC_E18_5","GC_E18_6","GC_P0_1","GC_P0_2","GC_P0_3","GC_P0_4","GC_P0_5","GC_P0_6","GC_P3_1","GC_P3_2","GC_P3_3","GC_P3_4","GC_P3_5","GC_P3_6","GC_P6_1","GC_P6_2","GC_P6_3","GC_P6_4","GC_P6_5","GC_P6_6","GC_P9_1","GC_P9_2","GC_P9_3","GC_P9_4","GC_P9_5","GC_P9_6"
"Label","E18","E18","E18","E18","E18","P0","P0","P0","P0","P0","P0","P3","P3","P3","P3","P3","P3","P6","P6","P6","P6","P6","P6","P9","P9","P9","P9","P9","P9"
"Rad23b","20.03051","20.36633","19.94403","19.91235","19.54138","20.44212","19.51467","20.32780","21.79070","21.00853","20.05993","17.46424","19.24392","17.44687","17.47046","19.21093","19.25783","19.72870","19.25248","19.38255","19.78708","18.63453","19.82317","18.55409","18.69644","18.66003","19.37401","18.47329","21.88020"
"Pfn1","22.02631","22.21308","22.01899","21.51332","22.30250","21.42679","22.16226","21.33497","21.68722","21.79893","21.64754","19.88274","20.91788","19.41838","20.04871","20.50517","21.21292","21.19341","21.47228","21.57602","21.66337","21.49039","21.73328","21.82088","21.85199","21.88020","21.38114","21.25297","21.68722"
"Ppp1r14b","17.91982","19.21093","19.49255","17.01435","15.76038","18.06377","18.11577","16.12607","21.18769","20.05499","16.94984","17.46424","17.46424","17.44687","20.03438","19.70566","17.39907","16.77474","17.81695","16.47445","18.43143","16.81860","17.27466","13.11983","15.66163","16.50828","15.23540","16.45865","16.29927"
"Rps20","19.28949","19.55690","19.92539","20.00493","17.00074","16.22936","19.41212","20.47015","20.24945","18.62344","19.97269","22.99564","22.92114","22.75162","22.85531","22.62777","22.70659","18.66544","18.62767","18.67487","19.29446","18.82823","21.37194","20.50517","19.70566","18.81966","19.34950","19.75059","19.29896"
"Afdn","14.564894","15.415283","16.914770","17.332483","18.349939","19.547042","18.336913","19.461442","16.963611","17.070477","16.949836","17.464240","17.464240","20.002110","17.470465","17.453089","17.399074","18.025343","17.716441","17.317582","16.982553","17.530490"," 6.848008","17.530490","19.163851","16.508282","17.794666","16.458650","18.037446"
"Sfpq","17.74382","16.70899","16.92130","18.07676","16.97378","16.22936","17.28440","16.12607","18.99729","19.02475","18.89321","19.99079","20.01389","17.44687","20.05993","20.06683","19.59115","17.15884","17.39268","16.63983","16.62793","16.54958","16.91477","16.31701","17.03582","17.85006","16.76828","16.45865","16.29927"
"G3bp2","17.70735","17.70383","17.34172","18.74926","19.90260","19.77651","19.91235","19.25783","21.34865","20.95697","20.93345","20.50979","17.46424","20.57240","17.47046","19.78433","20.71048","16.92750","15.79461","16.74344","16.32726","17.74877","16.72388","19.46144","18.97252","20.14354","18.96142","19.85097","20.58704"
"Bsg","21.63448","21.99434","21.10173","21.08568","21.81556","21.82088","21.17670","19.64804","21.95215","21.75197","21.95762","20.34540","17.46424","19.56662","19.56145","20.61073","20.58704","20.27791","20.29644","20.08735","20.37002","20.02045","19.87269","20.98120","21.17670","21.22057","21.07721","21.39569","21.70348"
"Stmn2","17.80845","19.25248","19.24861","19.06240","19.17914","19.95703","17.12653","19.92539","20.05499","18.77510","18.87233","19.79110","20.83714","20.21411","20.28256","17.45309","20.54805","18.66003","17.90232","14.73418","18.65415","15.50983","16.14030","16.77769","16.85553","16.50828","17.15101","16.45865","17.54235"
"Rab6a","17.13681","18.38023","19.51467","17.87950","17.83218","17.78433","18.05543","17.36269","20.54805","17.07048","18.36851","19.38671","19.63692","20.71048","19.71599","19.51061","19.71599","14.88734","15.80856","15.37054","17.38788","15.78343","17.68484","17.52276","16.94502","16.50828","18.14676","16.45865","18.45391"
"Hmgb2","16.56286","16.87241","18.92066","19.14731","18.53809","19.81198","17.58178","17.89813","21.22057","21.14218","20.88933","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","18.83463","17.97749","17.41473","17.56664","17.53755","16.77474","16.09795","15.66163","16.50828","15.23540","16.45865","16.29927"
"Stx6","16.54062","15.41528","15.49309","17.55421","15.76038","18.86661","15.61702","16.12607","18.78887","17.07048","16.94984","17.46424","17.46424","17.44687","17.47046","17.45309","17.39907","18.87674","19.00874","19.21804","19.40196","18.55686","18.26138","17.69319","17.23065","19.05843","15.23540","16.45865","17.74877"
